segment,rows,mae,exact,false_pos,false_neg,pred_units,actual_units,unit_delta,model,file
Site 802 Allocate,15,1.3333333333333333,0.4666666666666667,0,4,29.0,49.0,-20.0,v3_9_feature_pruned,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Site 802 Review,20,0.4,0.85,0,3,5.0,13.0,-8.0,v3_9_feature_pruned,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
Non-802,2315,0.14946004319654427,0.9248380129589633,40,76,2671.0,2701.0,-30.0,v3_9_feature_pruned,"Daily Allocation - 133, 155, 131, 704, 141, 152, 156, 708, 715 - 6.3.2026.xlsb"
All,1101,0.296094459582198,0.9082652134423251,23,25,2775.0,2653.0,122.0,v3_8_ak_specialist,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Allocate,685,0.4,0.8744525547445255,22,13,2667.0,2519.0,148.0,v3_8_ak_specialist,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Review,416,0.125,0.9639423076923077,1,12,108.0,134.0,-26.0,v3_8_ak_specialist,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Site 802,42,0.7619047619047619,0.7619047619047619,0,8,101.0,125.0,-24.0,v3_8_ak_specialist,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Site 802 Allocate,33,0.9696969696969697,0.696969696969697,0,8,93.0,117.0,-24.0,v3_8_ak_specialist,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Site 802 Review,9,0.0,1.0,0,0,8.0,8.0,0.0,v3_8_ak_specialist,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Non-802,1059,0.2776203966005666,0.9140698772426817,23,17,2674.0,2528.0,146.0,v3_8_ak_specialist,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
All,1101,0.296094459582198,0.9082652134423251,23,25,2775.0,2653.0,122.0,v3_9_feature_pruned,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Allocate,685,0.4,0.8744525547445255,22,13,2667.0,2519.0,148.0,v3_9_feature_pruned,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Review,416,0.125,0.9639423076923077,1,12,108.0,134.0,-26.0,v3_9_feature_pruned,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Site 802,42,0.7619047619047619,0.7619047619047619,0,8,101.0,125.0,-24.0,v3_9_feature_pruned,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Site 802 Allocate,33,0.9696969696969697,0.696969696969697,0,8,93.0,117.0,-24.0,v3_9_feature_pruned,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Site 802 Review,9,0.0,1.0,0,0,8.0,8.0,0.0,v3_9_feature_pruned,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
Non-802,1059,0.2776203966005666,0.9140698772426817,23,17,2674.0,2528.0,146.0,v3_9_feature_pruned,"Daily Allocation - 136, 139, 158, 101, 108, 109, 151 - 6.5.2026.xlsb"
